"var_names_chr","aqol6d_total_w","phq9_total","bads_total","gad7_total","oasis_total","scared_total","k6_total"
"aqol6d_total_w",1,NA,NA,NA,NA,NA,NA
"phq9_total",-0.81,1,NA,NA,NA,NA,NA
"bads_total",0.72,-0.72,1,NA,NA,NA,NA
"gad7_total",-0.71,0.69,-0.59,1,NA,NA,NA
"oasis_total",-0.73,0.68,-0.61,0.75,1,NA,NA
"scared_total",-0.64,0.61,-0.51,0.71,0.68,1,NA
"k6_total",-0.68,0.68,-0.61,0.6,0.59,0.52,1
